fips,state,county,n_events_total,n_per_year,observation_years,duration_p95,dqi,d1_volume,d2_per_year,d3_obs_years,d4_tail,d5_dqi,tier
1001,AL,Autauga,10275,920.1022555469292,11.16723705224732,6.0,0.76307164538,green,green,green,green,amber,amber
1003,AL,Baldwin,10546,944.3696727005271,11.16723705224732,18.25,0.76307164538,green,green,green,green,amber,amber
1005,AL,Barbour,5725,512.6603808278511,11.16723705224732,6.5,0.76307164538,green,green,green,green,amber,amber
1007,AL,Bibb,6277,562.090691782781,11.16723705224732,9.75,0.76307164538,green,green,green,green,amber,amber
1009,AL,Blount,8322,745.2156662444327,11.16723705224732,10.75,0.76307164538,green,green,green,green,amber,amber
1011,AL,Bullock,3659,327.6549054059576,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1013,AL,Butler,7967,713.4262452498672,11.16723705224732,6.25,0.76307164538,green,green,green,green,amber,amber
1015,AL,Calhoun,8248,738.5891390511993,11.16723705224732,16.41249999999991,0.76307164538,green,green,green,green,amber,amber
1017,AL,Chambers,6183,553.6732112940791,11.16723705224732,6.25,0.76307164538,green,green,green,green,amber,amber
1019,AL,Cherokee,266,23.819678829730723,11.16723705224732,9.75,0.76307164538,green,green,green,green,amber,amber
1021,AL,Chilton,9815,878.9103297511543,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1023,AL,Choctaw,2155,192.97521758672823,11.16723705224732,9.5,0.76307164538,green,green,green,green,amber,amber
1025,AL,Clarke,4352,389.7114370939403,11.16723705224732,6.5,0.76307164538,green,green,green,green,amber,amber
1027,AL,Clay,4320,386.84591182119067,11.16723705224732,8.25,0.76307164538,green,green,green,green,amber,amber
1029,AL,Cleburne,5060,453.1111837535243,11.16723705224732,12.0,0.76307164538,green,green,green,green,amber,amber
1031,AL,Coffee,9086,813.6300821313284,11.16723705224732,6.25,0.76307164538,green,green,green,green,amber,amber
1033,AL,Colbert,3,0.26864299432027133,11.16723705224732,4.625,0.76307164538,red,red,green,green,amber,red
1035,AL,Conecuh,1198,107.27810239856167,11.16723705224732,5.25,0.76307164538,green,green,green,green,amber,amber
1037,AL,Coosa,5728,512.9290238221714,11.16723705224732,8.0,0.76307164538,green,green,green,green,amber,amber
1039,AL,Covington,6538,585.4626322886446,11.16723705224732,4.75,0.76307164538,green,green,green,green,amber,amber
1041,AL,Crenshaw,5902,528.510317492747,11.16723705224732,6.0,0.76307164538,green,green,green,green,amber,amber
1043,AL,Cullman,8881,795.2728108527765,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1045,AL,Dale,6970,624.1472234707637,11.16723705224732,5.75,0.76307164538,green,green,green,green,amber,amber
1047,AL,Dallas,9852,882.223593347771,11.16723705224732,9.0,0.76307164538,green,green,green,green,amber,amber
1049,AL,DeKalb,85,7.61155150574102,11.16723705224732,7.199999999999999,0.76307164538,amber,amber,green,green,amber,amber
1051,AL,Elmore,11577,1036.693315081927,11.16723705224732,8.25,0.76307164538,green,green,green,green,amber,amber
1053,AL,Escambia,5682,508.8098312425939,11.16723705224732,6.5,0.76307164538,green,green,green,green,amber,amber
1055,AL,Etowah,8933,799.9292894209946,11.16723705224732,12.0,0.76307164538,green,green,green,green,amber,amber
1057,AL,Fayette,6098,546.0616597883381,11.16723705224732,8.537499999999909,0.76307164538,green,green,green,green,amber,amber
1059,AL,Franklin,3649,326.75942875822335,11.16723705224732,7.0,0.76307164538,green,green,green,green,amber,amber
1061,AL,Geneva,7815,699.8150002043068,11.16723705224732,5.75,0.76307164538,green,green,green,green,amber,amber
1063,AL,Greene,2425,217.15308707555263,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1065,AL,Hale,4788,428.754218935153,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1067,AL,Henry,4477,400.9048951906182,11.16723705224732,6.5,0.76307164538,green,green,green,green,amber,amber
1069,AL,Houston,8990,805.0335063130797,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1071,AL,Jackson,189,16.92450864217709,11.16723705224732,10.549999999999997,0.76307164538,amber,amber,green,green,amber,amber
1073,AL,Jefferson,1731,155.00700772279654,11.16723705224732,165.0,0.76307164538,green,green,green,green,amber,amber
1075,AL,Lamar,5108,457.4094716626486,11.16723705224732,10.0,0.76307164538,green,green,green,green,amber,amber
1077,AL,Lauderdale,7198,644.5640910391043,11.16723705224732,8.5,0.76307164538,green,green,green,green,amber,amber
1079,AL,Lawrence,675,60.44467372206105,11.16723705224732,6.574999999999989,0.76307164538,green,green,green,green,amber,amber
1081,AL,Lee,9717,870.1346586033587,11.16723705224732,9.25,0.76307164538,green,green,green,green,amber,amber
1083,AL,Limestone,544,48.713929636742535,11.16723705224732,4.25,0.76307164538,green,green,green,green,amber,amber
1085,AL,Lowndes,5951,532.8981530666449,11.16723705224732,7.375,0.76307164538,green,green,green,green,amber,amber
1087,AL,Macon,2988,267.56842234299023,11.16723705224732,6.25,0.76307164538,green,green,green,green,amber,amber
1089,AL,Madison,12413,1111.5551628325093,11.16723705224732,10.0,0.76307164538,green,green,green,green,amber,amber
1091,AL,Marengo,5039,451.23068279328237,11.16723705224732,6.5,0.76307164538,green,green,green,green,amber,amber
1093,AL,Marion,7481,669.9060801699833,11.16723705224732,8.75,0.76307164538,green,green,green,green,amber,amber
1095,AL,Marshall,504,45.13202304580558,11.16723705224732,9.462499999999991,0.76307164538,green,green,green,green,amber,amber
1097,AL,Mobile,5394,483.0201037878478,11.16723705224732,41.25,0.76307164538,green,green,green,green,amber,amber
1099,AL,Monroe,5517,494.03446655497896,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1101,AL,Montgomery,10015,896.8198627058391,11.16723705224732,15.574999999999818,0.76307164538,green,green,green,green,amber,amber
1103,AL,Morgan,3614,323.6252604911535,11.16723705224732,5.5,0.76307164538,green,green,green,green,amber,amber
1105,AL,Perry,4078,365.17537694602214,11.16723705224732,9.0,0.76307164538,green,green,green,green,amber,amber
1107,AL,Pickens,6503,582.3284640215747,11.16723705224732,8.0,0.76307164538,green,green,green,green,amber,amber
1109,AL,Pike,7765,695.3376169656356,11.16723705224732,6.25,0.76307164538,green,green,green,green,amber,amber
1111,AL,Randolph,6474,579.7315817431455,11.16723705224732,8.5,0.76307164538,green,green,green,green,amber,amber
1113,AL,Russell,7818,700.083643198627,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1115,AL,St. Clair,7904,707.7847423691414,11.16723705224732,15.25,0.76307164538,green,green,green,green,amber,amber
1117,AL,Shelby,6596,590.6563968455032,11.16723705224732,24.75,0.76307164538,green,green,green,green,amber,amber
1119,AL,Sumter,4442,397.7707269235484,11.16723705224732,7.75,0.76307164538,green,green,green,green,amber,amber
1121,AL,Talladega,8678,777.0946349037715,11.16723705224732,14.0,0.76307164538,green,green,green,green,amber,amber
1123,AL,Tallapoosa,7646,684.6814448575982,11.16723705224732,8.5,0.76307164538,green,green,green,green,amber,amber
1125,AL,Tuscaloosa,7878,705.4565030850325,11.16723705224732,20.75,0.76307164538,green,green,green,green,amber,amber
1127,AL,Walker,9606,860.1948678135087,11.16723705224732,11.0,0.76307164538,green,green,green,green,amber,amber
1129,AL,Washington,746,66.80255792097414,11.16723705224732,8.375,0.76307164538,green,green,green,green,amber,amber
1131,AL,Wilcox,5319,476.304028929841,11.16723705224732,8.75,0.76307164538,green,green,green,green,amber,amber
1133,AL,Winston,6728,602.4766885955951,11.16723705224732,8.0,0.76307164538,green,green,green,green,amber,amber
2020,AK,Anchorage,6491,581.2538920442937,11.16723705224732,17.25,0.7823217229799999,green,green,green,green,amber,amber
2063,AK,Chugach,11,0.9850243125076615,11.16723705224732,35.375,0.7823217229799999,red,red,green,green,amber,red
2068,AK,Denali,832,74.50365709148858,11.16723705224732,10.75,0.7823217229799999,green,green,green,green,amber,amber
2090,AK,Fairbanks North Star,7920,709.2175050055163,11.16723705224732,8.0,0.7823217229799999,green,green,green,green,amber,amber
2122,AK,Kenai Peninsula,4932,441.64908266252604,11.16723705224732,31.612499999999955,0.7823217229799999,green,green,green,green,amber,amber
2170,AK,Matanuska-Susitna,6009,538.0919176235035,11.16723705224732,11.5,0.7823217229799999,green,green,green,green,amber,amber
2240,AK,Southeast Fairbanks,1099,98.41288358599273,11.16723705224732,8.0,0.7823217229799999,green,green,green,green,amber,amber
2261,AK,Valdez-Cordova,73,6.536979528459935,11.16723705224732,15.799999999999994,0.7823217229799999,amber,amber,green,green,amber,amber
2290,AK,Yukon-Koyukuk,383,34.296755608221304,11.16723705224732,6.5,0.7823217229799999,green,green,green,green,amber,amber
4001,AZ,Apache,2874,257.3599885588199,11.16723705224732,8.087499999999977,0.69707169592,green,green,green,green,amber,amber
4003,AZ,Cochise,854,76.4737057165039,11.16723705224732,17.337499999999977,0.69707169592,green,green,green,green,amber,amber
4005,AZ,Coconino,2354,210.79520287663956,11.16723705224732,17.0,0.69707169592,green,green,green,green,amber,amber
4007,AZ,Gila,1970,176.40889960364484,11.16723705224732,15.5,0.69707169592,green,green,green,green,amber,amber
4009,AZ,Graham,8,0.7163813181873901,11.16723705224732,864.6999999999994,0.69707169592,red,red,green,green,amber,red
4011,AZ,Greenlee,320,28.655252727495608,11.16723705224732,6.050000000000011,0.69707169592,green,green,green,green,amber,amber
4012,AZ,La Paz,692,61.96698402320925,11.16723705224732,18.75,0.69707169592,green,green,green,green,amber,amber
4013,AZ,Maricopa,5243,469.4984064070608,11.16723705224732,54.44999999999982,0.69707169592,green,green,green,green,amber,amber
4015,AZ,Mohave,890,79.69742164834716,11.16723705224732,8.0,0.69707169592,green,green,green,green,amber,amber
4017,AZ,Navajo,5269,471.82664569116986,11.16723705224732,13.0,0.69707169592,green,green,green,green,amber,amber
4019,AZ,Pima,3111,278.58278511012134,11.16723705224732,35.625,0.69707169592,green,green,green,green,amber,amber
4021,AZ,Pinal,5342,478.3636252196298,11.16723705224732,22.75,0.69707169592,green,green,green,green,amber,amber
4023,AZ,Santa Cruz,480,42.98287909124341,11.16723705224732,9.012499999999989,0.69707169592,green,green,green,green,amber,amber
4025,AZ,Yavapai,3806,340.81841212765084,11.16723705224732,19.25,0.69707169592,green,green,green,green,amber,amber
4027,AZ,Yuma,2644,236.76402566093245,11.16723705224732,16.962499999999977,0.69707169592,green,green,green,green,amber,amber
5001,AR,Arkansas,7001,626.9232010787398,11.16723705224732,11.0,0.77625993638,green,green,green,green,amber,amber
5003,AR,Ashley,5772,516.869121072202,11.16723705224732,8.5,0.77625993638,green,green,green,green,amber,amber
5005,AR,Baxter,7534,674.6521064029747,11.16723705224732,5.75,0.77625993638,green,green,green,green,amber,amber
5007,AR,Benton,9714,869.8660156090385,11.16723705224732,9.337500000000091,0.77625993638,green,green,green,green,amber,amber
5009,AR,Boone,8078,723.3660360397172,11.16723705224732,8.5,0.77625993638,green,green,green,green,amber,amber
5011,AR,Bradley,2752,246.43517345646222,11.16723705224732,10.0,0.77625993638,green,green,green,green,amber,amber
5013,AR,Calhoun,940,84.17480488701834,11.16723705224732,11.75,0.77625993638,green,green,green,green,amber,amber
5015,AR,Carroll,5183,464.1255465206554,11.16723705224732,6.75,0.77625993638,green,green,green,green,amber,amber
5017,AR,Chicot,5296,474.2444326400523,11.16723705224732,10.25,0.77625993638,green,green,green,green,amber,amber
5019,AR,Clark,4259,381.3835042700118,11.16723705224732,8.0,0.77625993638,green,green,green,green,amber,amber
5021,AR,Clay,1630,145.96269358068074,11.16723705224732,9.387499999999989,0.77625993638,green,green,green,green,amber,amber
5023,AR,Cleburne,7184,643.3104237322764,11.16723705224732,6.0,0.77625993638,green,green,green,green,amber,amber
5025,AR,Cleveland,1476,132.17235320557347,11.16723705224732,11.75,0.77625993638,green,green,green,green,amber,amber
