fips,state,county,n_events_total,n_per_year,observation_years,duration_p95,dqi,d1_volume,d2_per_year,d3_obs_years,d4_tail,d5_dqi,tier
1001,AL,Autauga,9483,849.1805050463777,11.16723705224732,6.5,0.76307164538,green,green,green,green,amber,amber
1003,AL,Baldwin,8874,794.6459771993625,11.16723705224732,21.5,0.76307164538,green,green,green,green,amber,amber
1005,AL,Barbour,5426,485.8856290605974,11.16723705224732,7.0,0.76307164538,green,green,green,green,amber,amber
1007,AL,Bibb,5858,524.5702202427165,11.16723705224732,10.25,0.76307164538,green,green,green,green,amber,amber
1009,AL,Blount,7458,667.8464838801945,11.16723705224732,12.25,0.76307164538,green,green,green,green,amber,amber
1011,AL,Bullock,3536,316.64054263882645,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1013,AL,Butler,7321,655.5784538062354,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1015,AL,Calhoun,7161,641.2508274424877,11.16723705224732,18.75,0.76307164538,green,green,green,green,amber,amber
1017,AL,Chambers,5806,519.9137416744984,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1019,AL,Cherokee,256,22.924202181996485,11.16723705224732,10.1875,0.76307164538,green,green,green,green,amber,amber
1021,AL,Chilton,9038,809.331794222204,11.16723705224732,8.0,0.76307164538,green,green,green,green,amber,amber
1023,AL,Choctaw,2102,188.22919135373678,11.16723705224732,9.75,0.76307164538,green,green,green,green,amber,amber
1025,AL,Clarke,4153,371.8914518040289,11.16723705224732,7.0,0.76307164538,green,green,green,green,amber,amber
1027,AL,Clay,4128,369.6527601846933,11.16723705224732,8.75,0.76307164538,green,green,green,green,amber,amber
1029,AL,Cleburne,4809,430.63471989539494,11.16723705224732,12.649999999999864,0.76307164538,green,green,green,green,amber,amber
1031,AL,Coffee,8458,757.3941486536182,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1033,AL,Colbert,3,0.26864299432027133,11.16723705224732,4.625,0.76307164538,red,red,green,green,amber,red
